SURVEY_ID_,FACILITY_I,LONGITUDE,LATITUDE,FACILITY_U,GEOCODING_,FACILITY_N,STREET,CITY,ZIP_CODE,ZIP_CODE_E,CITY_BORO_,COUNTY,AREA_CODE,TELEPHONE_,CHIEF_EXEC,CHIEF_EX_1,LAT,LNG
5806,580601,-79.891804,40.446849,https://www.lifecarehealthpartners.com,00,NEW LIFECARE HOSPITALS OF PITTSBURGH LLC,225 PENN AVENUE,PITTSBURGH,15221.0,2173,Wilkinsburg Boro,ALLEGHENY,412,2472424,Jennifer Malko,Market CEO,40.44684900000004,-79.89180399999998
2436,24360101,-79.891804,40.446849,https://www.lifecarehealthpartners.com,00,LIFECARE BEHAVIORAL HEALTH HOSPITAL,225 PENN AVENUE 2ND FLOOR,PITTSBURGH,15221.0, ,Wilkinsburg Boro,ALLEGHENY,412,2472000,Jennifer Malko,CEO,40.44684900000004,-79.89180399999998
2912,291201,-79.953086,40.466314,http://www.chp.edu,00,UPMC CHILDRENS HOSPITAL OF PITTSBURGH,ONE CHILDRENS HOSPITAL DR  4401 PENN AVE,PITTSBURGH,15224.0,1334,City,ALLEGHENY,412,6925325,Mark Sevco,Interim President,40.46631400000007,-79.95308599999998
2984,298401,-79.937363,40.464241,http://www.childrenshomepgh.org,00,CHILDRENS HOME OF PITTSBURGH,5324 Penn Ave,Pittsburgh,15224.0, ,PITTSBURGH,ALLEGHENY,412,4414884,PAMELA R KEEN,CEO,40.46424100000007,-79.93736299999995
2344,234401,-79.946291,40.461885,http://www.ahn.org,00,WEST PENN HOSPITAL,4800 FRIENDSHIP AVENUE,PITTSBURGH,15224.0, ,Pittsburgh,ALLEGHENY,412,5785000,Ronald J. Andro,President and CEO,40.46188500000005,-79.94629099999997
7118,711801,-79.933425,40.317445,https://www.ahn.org,00,JEFFERSON HOSPITAL,"565 COAL VALLEY ROAD, PO BOX 18119",PITTSBURGH,15236.0,0119,JEFFERSON HILLS BORO,ALLEGHENY,412,4695000,Louise Urban,President and CEO,40.31744500000008,-79.93342499999994
4004,400401,-80.01353,40.572987,http://www.upmc.com,00,UPMC PASSAVANT,9100 BABCOCK BOULEVARD,PITTSBURGH,15237.0,5842,Pittsburgh,ALLEGHENY,412,3676700,Susan Hoolahan,President,40.57298700000007,-80.01352999999995
3405,340501,-79.871753,40.550505,https://www.encompasshealth.com,00,ENCOMPASS HEALTH REHAB HOSP HARMARVILLE,320 GUYS RUN ROAD,PITTSBURGH,15238.0,0460,Indiana Township,ALLEGHENY,412,8281300,Mark Van Volkenburg,CEO,40.550505000000044,-79.87175299999996
2211, ,-79.961146,40.446863,https://www.pittsburgh.va.gov,00,VA PITTSBURGH HEALTHCARE SYSTEM,UNIVERSITY DRIVE,PITTSBURGH,15240.0, , ,ALLEGHENY,412,6923200, , ,40.446863000000064,-79.96114599999999
1983,19830100,-80.112702,40.321262,http://www.southwoodhospital.com,00,SOUTHWOOD PSYCHIATRIC HOSPITAL INC,2575 BOYCE PLAZA ROAD,PITTSBURGH,15241.0, ,Upper St Clair,ALLEGHENY,412,2572290,Kimberly Lira,CEO,40.32126200000005,-80.11270199999996
4505,450501,-80.067281,40.377673,http://www.stclair.org,00,ST CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL ROAD,PITTSBURGH,15243.0, ,Mt. Lebanon,ALLEGHENY,412,9424000,James M. Collins,President and CEO,40.37767300000007,-80.06728099999998
2302,230201,-80.246286,40.183461,http://www.washingtonhospital.org,00,WASHINGTON HOSPITAL,155 WILSON AVENUE,WASHINGTON,15301.0,3398,Washington City,WASHINGTON,412,2257000,Gary B. Weinstein,CEO,40.18346100000008,-80.24628599999994
2256,22560101,-80.279073,40.156546,http://www.ashospital.net,00,ADVANCED SURGICAL HOSPITAL,100 TRICH DRIVE,WASHINGTON,15301.0, ,NORTH FRANKLIN,WASHINGTON,724,8840710,ANNE HAST,CEO / CNO,40.15654600000005,-80.27907299999998
0357,29530100,-80.190773,40.24585,http://www.ahn.org,00,CANONSBURG HOSPITAL,100 MEDICAL BOULEVARD,CANONSBURG,15317.0,9720,Canonsburg,WASHINGTON,412,7456100,Louise Urban,President and CEO,40.245850000000075,-80.19077299999998
8521,852101,-80.17312,39.900555,http://southwestregionalmedical.com,00,WASHINGTON HEALTH SYSTEM GREENE,350 BONAR AVENUE,WAYNESBURG,15370.0, ,Waynesburg,GREENE,412,6273101,Terry Wiltrout,President,39.900555000000054,-80.17311999999998
4709,470901,-79.739271,39.901497,http://www.uniontownhospital.com,00,UNIONTOWN HOSPITAL,500 WEST BERKELEY STREET,UNIONTOWN,15401.0,5514,city,FAYETTE,412,4305000,Steve Handy,Chief Executive Officer,39.90149700000006,-79.73927099999997
0021,037301,-79.586171,40.023076,http://www.highlandshospital.org,00,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,CONNELLSVILLE,15425.0,2797,CITY,FAYETTE,724,6281500,JOHN S ANDURSKY,CHIEF EXECUTIVE OFFICER,40.02307600000006,-79.58617099999998
1969,196901,-79.077581,40.007059,http://www.somersethospital.com,00,SOMERSET COMMUNITY HOSPITAL,225 SOUTH CENTER AVENUE,SOMERSET,15501.0,2088,Somerset Borough,SOMERSET,814,4435000,Andy Rush,CEO,40.00705900000003,-79.07758099999995
6505,650501,-78.433098,40.025378,http://www.upmc.com,00,UPMC BEDFORD,10455 LINCOLN HIGHWAY,EVERETT,15537.0,7046,Everett,BEDFORD,814,6236161,Jan Fisher,President/CEO,40.025378000000046,-78.43309799999997
3911,391101,-79.025128,39.809128,http://www.conemaugh.org,00,CONEMAUGH MEYERSDALE MEDICAL CENTER,200 HOSPITAL DRIVE,MEYERSDALE,15552.0, ,Boro,SOMERSET,814,6345911,Heather J. Smith,Chief Executive Officer,39.809128000000044,-79.02512799999994
7503,750301,-79.555229,40.300788,http://www.excelahealth.org,00,EXCELA HEALTH WESTMORELAND REGIONAL HOSP,532 WEST PITTSBURGH STREET,GREENSBURG,15601.0,2282,CITY,WESTMORELAND,724,8324000,John Sphon,CEO,40.30078800000007,-79.55522899999994
0037,75030101,-79.394688,40.321116,http://laurelhighlands.selectspecialtyhospitals.com,00,SELECT SPECIALTY HOSP LAUREL HIGHLANDS,1 MELLON WAY,LATROBE,15650.0, ,Latrobe,WESTMORELAND,724,5393010,Kelly Blake,CEO,40.321116000000075,-79.39468799999997
1226,122601,-79.393466,40.321027,http://www.excelahealth.org,00,EXCELA HEALTH LATROBE HOSPITAL,1 MELLON WAY,LATROBE,15650.0,1096,LATROBE,WESTMORELAND,724,5371000,John Sphon,CEO,40.32102700000007,-79.39346599999999
0838,083801,-79.549202,40.145253,http://www.excelahealth.org,00,EXCELA HEALTH FRICK HOSPITAL,508 SOUTH CHURCH STREET,MOUNT PLEASANT,15666.0,1790,Boro,WESTMORELAND,724,5471500,John Sphon,CEO,40.145253000000025,-79.54920199999998
0907,090701,-79.156285,40.607643,http://www.indianarmc.org,00,INDIANA REGIONAL MEDICAL CENTER,"PO BOX 788, HOSPITAL ROAD",INDIANA,15701.0,0788,White Township,INDIANA,724,3577000,Stephen A. Wolfe,President & CEO,40.60764300000005,-79.15628499999997
0125,163701,-78.999735,40.961282,http://www.pah.org,00,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,PUNXSUTAWNEY,15767.0,2616,YOUNG,JEFFERSON,814,9381800,DANIEL D BLOUGH JR,CHIEF EXECUTIVE OFFICER,40.96128200000004,-78.99973499999999
4604,20150100,-79.238092,40.414923,http://www.dhs.pa.gov/citizens/statehospitals,00,TORRANCE STATE HOSPITAL,STATE ROUTE 1014   P O BOX 111,TORRANCE,15779.0,0111,Derry Township,WESTMORELAND,412,4594511,Valerie Vicari,CEO,40.414923000000044,-79.23809199999994
0420,135501,-78.775266,41.114888,http://www.phhealthcare.org,00,PENN HIGHLANDS DUBOIS,100 HOSPITAL AVENUE,DUBOIS,15801.0,0447,DUBOIS,CLEARFIELD,814,3712200,JOHN SUTIKA,PRESIDENT,41.114888000000064,-78.77526599999999
2805,28050101,-79.093108,41.156519,http://www.phhealthcare.org,00,PENN HIGHLANDS BROOKVILLE,100 HOSPITAL ROAD,BROOKVILLE,15825.0, ,BROOKVILLE BOROUGH,JEFFERSON,814,8492312,Julianne Peer,President,41.15651900000006,-79.09310799999997
0109,010901,-78.578272,41.426232,http://www.phhealthcare.org,00,PENN HIGHLANDS ELK,763 JOHNSONBURG ROAD,ST MARYS,15857.0,3417,ST MARYS,ELK,814,7888000,Bradley J. Chapman,President,41.42623200000003,-78.57827199999997
2131,21310101,-78.920931,40.325873,http://www.conemaugh.org,00,CRICHTON REHABILITATION CENTER,320 MAIN STREET,JOHNSTOWN,15901.0, ,Johnstown,CAMBRIA,814,5347925,William Caldwell,CEO,40.32587300000006,-78.92093099999994
0026,03560100,-78.921079,40.326145,http://johnstown.selectspecialtyhospitals.com,00,SELECT SPECIALTY HOSPITAL JOHNSTOWN,320 MAIN STREET,JOHNSTOWN,15905.0, ,City,CAMBRIA,814,5347365,Kelly L. Blake,CEO,40.326145000000054,-78.92107899999996
0356,035601,-78.919112,40.305158,http://www.conemaugh.org,00,CONEMAUGH MEMORIAL MEDICAL CENTER,1086 FRANKLIN STREET,JOHNSTOWN,15905.0,4398,JOHNSTOWN,CAMBRIA,814,5339000,William E. Caldwell,CEO,40.30515800000006,-78.91911199999998
2349,234901,-78.836776,40.24341,http://www.windbercare.org,00,"WINDBER HOSPITAL, INC.",600 SOMERSET AVENUE,WINDBER,15963.0, ,Borough,SOMERSET,814,4673000,Thomas Kurtz,President/CEO,40.24341000000004,-78.83677599999999
0237,023701,-79.881136,40.866796,http://www.butlerhealthsystem.org,00,BUTLER MEMORIAL HOSPITAL,1 HOSPITAL WAY,BUTLER,16001.0, ,BUTLER,BUTLER,724,2836666,Ken DeFurio,President and CEO,40.86679600000008,-79.88113599999997
1012,101201,-80.353303,41.013468,https://upmcjameson.com,00,UPMC JAMESON,1211 WILMINGTON AVENUE,NEW CASTLE,16105.0,2595,CITY,LAWRENCE,724,6564100,"Donald R. Owrey, FACHE",President,41.013468000000046,-80.35330299999998
0505,050501,-80.275678,40.869733, ,00,ELLWOOD CITY MEDICAL CENTER,724 PERSHING STREET,ELLWOOD CITY,16117.0,1499,Ellwood City,LAWRENCE,724,7520081,Beverly Annarumo,CEO,40.86973300000005,-80.27567799999997
0719,071901,-80.372067,41.411519,http://www.upmc.com,00,UPMC HORIZON,110 NORTH MAIN STREET,GREENVILLE,16125.0, ,Boro,MERCER,724,9837150,"Donald R. Owrey, FACHE",President,41.411519000000055,-80.37206699999996
1966,196601,-80.496215,41.232545,https://sharonregionalhealth.org,00,SHARON REGIONAL HEALTH SYSTEM,740 EAST STATE STREET,SHARON,16146.0,0372,Sharon,MERCER,412,9833911,Joseph Hugar,President,41.23254500000007,-80.49621499999995
1733,17330101,-80.418378,41.330762,http://www.edgewoodsurgical.com,00,EDGEWOOD SURGICAL HOSPITAL,239 EDGEWOOD DRIVE EXTENSION,TRANSFER,16154.0, ,Boro,MERCER,724,6460400,Thomas G. Roskos,CEO,41.33076200000005,-80.41837799999996
2709,270901,-79.562066,40.808777,http://acmh.org,00,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,16201.0,8808,Armstrong,ARMSTRONG,724,5438500,John I. Lewis,President/CEO,40.80877700000008,-79.56206599999996
0365,297801,-79.397684,41.192032,http://www.clarionhospital.org,00,CLARION HOSPITAL,1 HOSPITAL DRIVE,CLARION,16214.0, ,Clarion,CLARION,814,2269500,Steven T Davis,President & CEO,41.19203200000004,-79.39768399999997
6030,06300100,-79.39726,41.193515,http://clarioncenter.com,00,CLARION PSYCHIATRIC CENTER,2 HOSPITAL DRIVE,CLARION,16214.0, ,Monroe,CLARION,814,2269545,Mike Post,CEO/ Managing Director,41.19351500000005,-79.39725999999996
2108,210801,-80.084753,41.171008,http://www.gcmcpa.org,00,GROVE CITY MEDICAL CENTER,631 NORTH BROAD STREET EXT,GROVE CITY,16217.0,9703,Pine Twp,MERCER,724,4507000,"Robert C. Jackson, Jr.",Chief Executive Officer,41.17100800000003,-80.08475299999998
3906,197101,-80.145797,41.641669,http://www.mmchs.org,00,MEADVILLE MEDICAL CENTER,751 LIBERTY STREET,MEADVILLE,16335.0, ,MEADVILLE,CRAWFORD,814,3335000,Philip Pandolph,President and CEO,41.641669000000036,-80.14579699999996
5801,151001,-79.70047,41.361209,https://hillman.upmc.com,00,UPMC NORTHWEST - SENECA,100 FAIRFIELD DRIVE,SENECA,16346.0, ,Cranberry Township,VENANGO,814,6767600,Brian Durniok,President,41.36120900000003,-79.70046999999994
2009,200901,-79.680065,41.63382,http://www.titusvillehospital.org,00,TITUSVILLE AREA HOSPITAL,406 WEST OAK STREET,TITUSVILLE,16354.0, ,CITY,CRAWFORD,814,8271851,Lee M Clinton,Chief Executive Officer,41.63382000000007,-79.68006499999996
7505,75140100,-79.146637,41.879418,http://www.dhs.pa.gov/citizens/statehospitals,00,WARREN STATE HOSPITAL,33 MAIN DRIVE,NORTH WARREN,16365.0,0249,Conewango Twp,WARREN,814,7235500,"Charlotte M. Uber, LSW",Chief Executive Officer,41.879418000000044,-79.14663699999994
4904,490401,-79.155542,41.84318,http://www.wgh.org,00,WARREN GENERAL HOSPITAL,2 CRESCENT PARK WEST,WARREN,16365.0, ,WARREN,WARREN,814,7234973,Richard Allen,Chief Executive Officer,41.843180000000075,-79.15554199999997
0340,03400101,-79.612926,41.936236,http://www.corryhospital.com,00,CORRY MEMORIAL HOSPITAL,965 SHAMROCK LANE,CORRY,16407.0, ,CORRY,ERIE,814,6644641,BARBARA D NICHOLS,PRESIDENT/CEO,41.936236000000065,-79.61292599999996
0034,08230101,-80.087626,42.122652,https://www.selectmedical.com,00,SELECT SPECIALTY HOSPITAL - ERIE,252 WEST 11TH STREET,ERIE,16501.0, ,Erie,ERIE,814,8745300,Karen Surkala,CEO,42.12265200000007,-80.08762599999994
2208, ,-80.063124,42.102215,http://www.erie.va.gov,00,VA MEDICAL CENTER - ERIE,135 EAST 38TH STREET,ERIE,16504.0, , ,ERIE,814,8688661, , ,42.10221500000006,-80.06312399999996
0531,392001,-80.084447,42.134027,https://www.encompasshealth.com,00,ENCOMPASS HEALTH REHAB HOSPITAL ERIE,143 EAST 2ND STREET,ERIE,16507.0,1501,ERIE,ERIE,814,8781200,John P. Papalia,CEO,42.13402700000006,-80.08444699999995
5701,570101,-80.091931,42.074123,http://lecomhealth.com,00,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE,16509.0,2695,Millcreek Twp,ERIE,814,8644031,Mary L. Eckert,President/CEO,42.07412300000004,-80.09193099999999
1960,196001,-80.079544,42.111309,http://www.ahn.org,00,SAINT VINCENT HEALTH CENTER,232 WEST 25TH STREET,ERIE,16544.0, ,ERIE CITY,ERIE,814,4525795,"Christopher C. Clark, DO",President,42.11130900000006,-80.07954399999994
0823,082301,-80.086851,42.133695,http://www.upmc.com,00,UPMC HAMOT,201 STATE STREET,ERIE,16550.0,0001,Erie,ERIE,814,8776000,David P. Gibbons,President,42.133695000000046,-80.08685099999997
0128,012801,-78.398784,40.522106,http://altoonaregional.org,00,UPMC ALTOONA,620 HOWARD AVENUE,ALTOONA,16601.0,4899,ALTOONA,BLAIR,814,9462011,JAN E. FISHER,PRESIDENT,40.522106000000065,-78.39878399999998
4408,440801,-78.39155,40.496506,https://encompasshealth.com,00,ENCOMPASS HEALTH REHAB HOSPITAL ALTOONA,2005 VALLEY VIEW BOULEVARD,ALTOONA,16602.0,4548,LOGAN,BLAIR,814,9443535,Scott A. Filler,Chief Executive Officer,40.49650600000007,-78.39154999999994
2205, ,-78.395779,40.488373,http://www.altoona.va.gov,00,JAMES E VAN ZANDT VA MEDICAL CENTER,2907 PLEASANT VALLEY BOULEVARD,ALTOONA,16602.0,4377, ,BLAIR,814,9438164, , ,40.488373000000024,-78.39577899999995
1364,10850100,-78.705231,40.658063,http://www.conemaugh.org,00,CONEMAUGH MINERS MEDICAL CENTER,290 HAIDA AVENUE,HASTINGS,16646.0, ,Elder,CAMBRIA,814,2473100,Tim Harclerode,CEO,40.65806300000003,-78.70523099999997
1011,101101,-78.012242,40.494191,http://www.jcblair.org,00,J C BLAIR MEMORIAL HOSPITAL,1225 WARM SPRINGS AVENUE,HUNTINGDON,16652.0,2398,HUNTINGDON,HUNTINGDON,814,6432290,Joseph E. Myers,President/CEO,40.49419100000006,-78.01224199999996
1411,141101,-78.388363,40.338783,https://www.conemaugh.org,00,NASON HOSPITAL,105 NASON DRIVE,ROARING SPRING,16673.0, ,Boro,BLAIR,814,2242141,Tim Harclerode,Chief Executive Officer,40.338783000000035,-78.38836299999997
4603,46030101,-78.252244,40.67471,http://www.tyronehospital.org,00,TYRONE HOSPITAL,187 HOSPITAL DRIVE,TYRONE,16686.0, ,SNYDER TWP.,BLAIR,814,6841255,JOSEPH J. PELUSO,CEO,40.67471000000006,-78.25224399999996
5412,541201,-78.659343,41.961136,http://www.brmc.com,00,BRADFORD REGIONAL MEDICAL CENTER,116 INTERSTATE PARKWAY,BRADFORD,16701.0,0218,Bradford,MCKEAN,814,3684143,Timothy J. Finan,President and CEO,41.96113600000007,-78.65934299999998
5505,550501,-78.817053,41.671877,http://www.kanecommunityhospital.com,00,UPMC KANE,4372 ROUTE 6,KANE,16735.0,3060,Kane,MCKEAN,814,8378585,Mark Papalia,President,41.67187700000005,-78.81705299999999
5503,550301,-77.842952,40.818841,http://www.mountnittany.org,00,MOUNT NITTANY MEDICAL CENTER,1800 EAST PARK AVENUE,STATE COLLEGE,16803.0,6797,College,CENTRE,814,2317000,Kathleen Rhine,President and CEO,40.81884100000008,-77.84295199999997
3426,342601,-77.755788,40.86026,https://encompasshealth.com,00,ENCOMPASS HLTH REHAB HOSP NITTANY VALLEY,550 WEST COLLEGE AVENUE,PLEASANT GAP,16823.0,7401,SPRING,CENTRE,814,3593421,Tracy Ewing,Interim CEO,40.86026000000004,-77.75578799999994
3924,39240100,-77.712619,40.810676,http://www.themeadows.net,00,MEADOWS PSYCHIATRIC CENTER,132 THE MEADOWS DRIVE,CENTRE HALL,16828.0, ,Potter,CENTRE,814,3642161,David Grabowski,CEO / Managing Director,40.81067600000006,-77.71261899999996
2913,291301,-78.449676,41.033254,http://www.phhealthcare.org,00,PENN HIGHLANDS CLEARFIELD,809 TURNPIKE AVENUE,CLEARFIELD,16830.0,1243,CLEARFIELD BOROUGH,CLEARFIELD,814,7655341,RHONDA HALSTEAD,PRESIDENT,41.033254000000056,-78.44967599999995
1953,195301,-77.300305,41.745128,http://www.susquehannahealth.org,00,SOLDIERS & SAILORS MEMORIAL HOSPITAL,32-36 CENTRAL AVENUE,WELLSBORO,16901.0,1899,WELLSBORO BOROUGH,TIOGA,717,7230100,JANIE M HILFIGER,PRESIDENT,41.74512800000008,-77.30030499999998
0318,031801,-77.979991,41.772005,http://www.colememorial.org,00,UPMC COLE,1001 EAST SECOND STREET,COUDERSPORT,16915.0, ,EULALIA TOWNSHIP,POTTER,814,2749300,Janie M Hilfiger,President,41.772005000000036,-77.97999099999998
4601,460101,-76.794306,41.793639,http://www.guthrie.org,00,TROY COMMUNITY HOSPITAL,275 GUTHRIE DRIVE,TROY,16947.0, ,Troy,BRADFORD,717,2972121,Lori Barnett,President,41.79363900000004,-76.79430599999995
3408,340801,-76.921694,40.253934,http://www.hsh.org,00,HOLY SPIRIT HOSPITAL,503 NORTH 21ST STREET,CAMP HILL,17011.0,2288,East Pennsboro,CUMBERLAND,717,7632100,Kyle Snyder,Cheif Administrative Offi,40.25393400000007,-76.92169399999995
1351,135101,-76.675759,40.263775,https://hmc.pennstatehealth.org,00,MILTON S HERSHEY MEDICAL CENTER,"500 UNIVERSITY DRIVE, PO BOX 850",HERSHEY,17033.0,0850,Derry Township,DAUPHIN,717,5318521,"A. Craig Hillemeier, MD",CEO,40.26377500000007,-76.67575899999997
2170,21700101,-76.686582,40.273135,https://hmc.pennstatehealth.org,00,PENN STATE HERSHEY REHABILITATION LLC,1135 OLD WEST CHOCOLATE AVENUE,HUMMELSTOWN,17036.0, ,Derry,DAUPHIN,717,8322600,Michelle Von Arx,CEO,40.273135000000025,-76.68658199999999
0724,072401,-76.416451,40.33643,https://www.wellspan.org,00,WELLSPAN GOOD SAMARITAN HOSPITAL,"FOURTH & WALNUT STREETS, PO BOX 1281",LEBANON,17042.0,1281,Lebanon,LEBANON,717,2707500,Thomas R. Harlow,President,40.336430000000064,-76.41645099999994
4803, ,-76.397976,40.318543,http://www.lebanon.va.gov,00,VA MEDICAL CENTER - LEBANON,1700 SOUTH LINCOLN AVENUE,LEBANON,17042.0,7597, ,LEBANON,717,2726621, , ,40.318543000000034,-76.39797599999997
2275,22750101,-76.718979,39.926218,http://www.wellspan.org,00,WELLSPAN SURGERY & REHABILITATION HOSP,55 MONUMENT ROAD,YORK,17043.0, ,York,YORK,717,8126100,Barbara A. Yarrish,President,39.92621800000006,-76.71897899999993
1215,121501,-77.567808,40.617547,http://www.geisinger.org,00,GEISINGER-LEWISTOWN HOSPITAL,400 HIGHLAND AVENUE,LEWISTOWN,17044.0, ,Derry,MIFFLIN,717,2485411,Kirk Thomas,Chief Administrative Offi,40.61754700000006,-77.56780799999996
1824,441001,-76.974084,40.211175,https://www.encompasshealth.com,00,ENCOMPASS HLTH REHAB HOSP MECHANICSBURG,175 LANCASTER BOULEVARD,MECHANICSBURG,17055.0, ,UPPER ALLEN TWP,CUMBERLAND,717,6913700,JOSETTE MYERS,CEO,40.211175000000026,-76.97408399999995
1635,16350100,-76.462099,40.267409,https://www.wellspanphilhaven.org,00,PHILHAVEN,283 SOUTH BUTLER ROAD PO BOX 550,MT GRETNA,17064.0,0550,West Cornwall Twp.,LEBANON,717,2738871,Philip D hess,President,40.26740900000004,-76.46209899999997
